datetime,station,passengers,temperature,weather_type,is_weekend,events,predicted_passengers
2024-12-08 15:37:50.109234,T-Centralen,360,1.1,rain,True,[],0.0
2024-12-08 15:37:50.109234,Slussen,180,1.1,rain,True,[],0.0
2024-12-08 15:37:50.109234,Gullmarsplan,100,1.1,rain,True,[],0.0
2024-12-08 15:37:50.109234,Fridhemsplan,90,1.1,rain,True,[],0.0
2024-12-08 15:37:50.109234,Tekniska högskolan,16,1.1,rain,True,[],0.0
2024-12-08 15:37:50.109234,Universitet,15,1.1,rain,True,[],0.0
2024-12-08 15:37:50.109234,Gamla stan,109,1.1,rain,True,[],0.0
2024-12-08 15:37:50.109234,Kungsträdgården,92,1.1,rain,True,[],0.0
2024-12-08 15:37:50.109234,Odenplan,84,1.1,rain,True,[],0.0
2024-12-08 15:37:50.109234,Medborgarplatsen,81,1.1,rain,True,[],0.0
2024-12-08 16:37:50.109234,T-Centralen,360,1.1,rain,True,[],0.0
2024-12-08 16:37:50.109234,Slussen,180,1.1,rain,True,[],0.0
2024-12-08 16:37:50.109234,Gullmarsplan,100,1.1,rain,True,[],0.0
2024-12-08 16:37:50.109234,Fridhemsplan,90,1.1,rain,True,[],0.0
2024-12-08 16:37:50.109234,Tekniska högskolan,16,1.1,rain,True,[],0.0
2024-12-08 16:37:50.109234,Universitet,15,1.1,rain,True,[],0.0
2024-12-08 16:37:50.109234,Gamla stan,109,1.1,rain,True,[],0.0
2024-12-08 16:37:50.109234,Kungsträdgården,92,1.1,rain,True,[],0.0
2024-12-08 16:37:50.109234,Odenplan,84,1.1,rain,True,[],0.0
2024-12-08 16:37:50.109234,Medborgarplatsen,81,1.1,rain,True,[],0.0
2024-12-08 17:37:50.109234,T-Centralen,360,1.1,rain,True,[],0.0
2024-12-08 17:37:50.109234,Slussen,180,1.1,rain,True,[],0.0
2024-12-08 17:37:50.109234,Gullmarsplan,100,1.1,rain,True,[],0.0
2024-12-08 17:37:50.109234,Fridhemsplan,90,1.1,rain,True,[],0.0
2024-12-08 17:37:50.109234,Tekniska högskolan,16,1.1,rain,True,[],0.0
2024-12-08 17:37:50.109234,Universitet,15,1.1,rain,True,[],0.0
2024-12-08 17:37:50.109234,Gamla stan,109,1.1,rain,True,[],0.0
2024-12-08 17:37:50.109234,Kungsträdgården,92,1.1,rain,True,[],0.0
2024-12-08 17:37:50.109234,Odenplan,84,1.1,rain,True,[],0.0
2024-12-08 17:37:50.109234,Medborgarplatsen,81,1.1,rain,True,[],0.0
2024-12-08 18:37:50.109234,T-Centralen,360,1.1,rain,True,[],0.0
2024-12-08 18:37:50.109234,Slussen,180,1.1,rain,True,[],0.0
