epoch,train_loss,val_loss
1,0.9494472439090411,1.0385405249065822
2,0.9070559855136606,1.0081861403253343
3,0.8756273660394881,0.930826649400923
4,0.7783284004363749,0.8188418500953251
5,0.7034735923012098,0.7964313854773839
6,0.6915999258144034,0.7563827392127779
7,0.6761399669365751,0.7588640047444237
8,0.6664180465870433,0.7599705944458643
9,0.6582309468338887,0.7221770726972156
10,0.6579600800242689,0.715464840332667
11,0.6657692287531164,0.7245200143920051
12,0.6541617691102956,0.7501449515422185
13,0.6515268644938866,0.7122536808252334
14,0.6390616793185473,0.7205699337853326
15,0.6452319465991524,0.7261025836070378
16,0.6454799187059204,0.7526640140348011
17,0.6412476533402999,0.740775873263677
18,0.6333878551092412,0.7242168337106705
19,0.6307187454981936,0.7166166570451524
20,0.6264413983457618,0.7011667301257452
21,0.6232945567203892,0.7076526638534334
22,0.6219423443078995,0.7106440891822179
23,0.6247238994886478,0.7123236268758774
24,0.6201531170970864,0.6989724119504293
25,0.6180944786303573,0.7382325712177489
26,0.6167231011307902,0.7014442867702908
27,0.617877430220445,0.7108207464218139
28,0.6180498413327667,0.6816710988680522
29,0.6118794682539171,0.6871976504723231
30,0.6153305739992194,0.6953190714120865
31,0.6116387250936693,0.6890927116076152
32,0.6133343555033207,0.702972275349829
33,0.6072501331981686,0.6734763277901543
34,0.6013991515255637,0.6623790171411302
35,0.6093108170976241,0.671189828382598
36,0.606149764979879,0.6737448414166768
37,0.602574280442463,0.6881312724616793
38,0.6048564026753108,0.720799187819163
39,0.6111111769659652,0.6857092708349228
40,0.6146421251611577,0.6806064218282699
41,0.602035642001364,0.6785564475589329
42,0.6025963467442327,0.6961496621370316
43,0.6065377463483148,0.6976199709706836
44,0.6010038720236884,0.7027540074454414
