datetime,station,current_demand,predicted_demand,optimal_fare,estimated_revenue,demand_multiplier,time_multiplier,adjusted_demand,recommendation_reason
2024-12-08 16:05:25.890062,T-Centralen,400,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 16:05:25.890062,Slussen,200,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 16:05:25.890062,Gullmarsplan,112,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 16:05:25.890062,Fridhemsplan,100,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 16:05:25.890062,Tekniska högskolan,18,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 16:05:25.890062,Universitet,16,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 16:05:25.890062,Gamla stan,121,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 16:05:25.890062,Kungsträdgården,102,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 16:05:25.890062,Odenplan,93,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 16:05:25.890062,Medborgarplatsen,90,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 17:05:25.890062,T-Centralen,400,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 17:05:25.890062,Slussen,200,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 17:05:25.890062,Gullmarsplan,112,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 17:05:25.890062,Fridhemsplan,100,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 17:05:25.890062,Tekniska högskolan,18,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 17:05:25.890062,Universitet,16,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 17:05:25.890062,Gamla stan,121,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 17:05:25.890062,Kungsträdgården,102,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 17:05:25.890062,Odenplan,93,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 17:05:25.890062,Medborgarplatsen,90,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 18:05:25.890062,T-Centralen,400,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 18:05:25.890062,Slussen,200,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
2024-12-08 18:05:25.890062,Gullmarsplan,112,0.0,39.0,0.0,1.0,1.0,0.0,Peak hour but lower than expected demand
